[2026-08-08 00:15:07] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:27] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:27] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:27] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:27] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:27] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:27] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:28] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:28] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:28] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:28] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:29] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:29] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:29] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:29] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:29] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:30] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:30] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:30] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:30] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:30] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:31] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:31] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:31] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:31] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:32] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:32] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:32] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:32] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:32] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:33] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:33] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:33] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:33] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:33] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:34] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:34] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:34] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:34] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:35] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:35] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:35] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:35] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:35] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:36] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:36] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:36] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:36] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:36] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:36] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:37] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:37] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:37] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:37] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:37] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:38] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:38] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:38] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:38] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:39] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:39] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:39] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:39] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:39] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:40] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:40] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:40] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:40] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:41] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:41] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:41] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:41] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:41] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:42] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:42] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:42] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:42] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:43] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:43] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:43] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:43] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:43] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:44] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:44] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:44] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:44] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:44] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:45] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:45] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:45] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:45] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:46] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:46] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:46] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:46] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:46] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:47] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:47] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:47] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:47] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:47] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:48] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (alpha_init=1.0, beta_init=0.0)
[2026-08-08 03:24:48] [FIXED ENC] enc_alpha_raw e enc_beta_raw congelados (treino final)
